Class,Method,Inferred Type,Original Type,Source Code,Comments
[s]Ronin::Address,parse,(XXX) -> XXX,(String) -> Address,"def self.parse(address)
      first_or_new(:address => address)
    end"
[s]Ronin::Installation,load_gemspecs!,() -> (false or true),() -> (false or true),"def self.load_gemspecs!
      $LOAD_PATH.each do |lib_dir|
        root_dir = File.expand_path(File.join(lib_dir,'..'))
        gemspec_path = Dir[File.join(root_dir,'ronin*.gemspec')][0]

        if gemspec_path
          # switch into the gem directory, before loading the gemspec
          gem = RDL.type_cast(Dir.chdir(root_dir) do
            Gem::Specification.load(gemspec_path)
          end, ""Gem::Specification"")

          # do not add duplicate ronin gems
          unless @gems.has_key?(gem.name)
            @gems[gem.name] = gem
            @paths << root_dir
          end
        end
      end

      return true
    end"
[s]Ronin::Installation,load!,() -> (false or true),() -> (false or true),"def self.load!
      if Gem.loaded_specs.has_key?('ronin') then load_gems!
      else                                       load_gemspecs!
      end
    end"
[s]Ronin::IPAddress,extract,"(XXX, ?XXX) { (XXX) -> XXX } -> Array<%any>","(String, (Number or Symbol)) -> %bot","def self.extract(text,version=nil)
      return enum_for(__method__,text,version).to_a unless block_given?

      IPAddr.extract(text,version) do |ip|
        yield parse(ip)
      end

      return nil
    end"
[s]Ronin::IPAddress,v4,() -> XXX,() -> Array<IPAddress>,"def self.v4
      all(:version => 4)
    end"
[s]Ronin::IPAddress,v6,() -> XXX,() -> Array<IPAddress>,"def self.v6
      all(:version => 6)
    end"
[s]Ronin::IPAddress,with_macs,(XXX) -> XXX,((Array<String> or String)) -> Array<IPAddress>,"def self.with_macs(macs)
      all('mac_addresses.address' => macs)
    end"
[s]Ronin::IPAddress,with_hosts,(XXX) -> XXX,((Array<String> or String)) -> Array<IPAddress>,"def self.with_hosts(names)
      all('host_names.address' => names)
    end"
[s]Ronin::IPAddress,with_ports,(XXX) -> XXX,((Array<Number> or Number)) -> Array<IPAddress>,"def self.with_ports(numbers)
      all('ports.number' => numbers)
    end"
[s]Ronin::IPAddress,lookup,"(XXX, ?XXX) -> Array<XXX>","(String, String) -> Array<IPAddress>","def self.lookup(name,nameserver=nil)
      host = HostName.first_or_new(:address => name)
      resolver = Resolv.resolver(nameserver)

      ips = begin
              resolver.getaddresses(name)
            rescue
              []
            end
        
      ips.map! do |addr|
        IPAddress.first_or_create(
          :address => addr,
          :host_names => [host]
        )
      end

      return ips
    end"
[s]Ronin::MACAddress,extract,(XXX) { (XXX) -> XXX } -> Array<%any>,(String) -> Array<MACAddress>,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      scanner = StringScanner.new(text)

      while scanner.skip_until(Regexp::MAC)
        yield parse(scanner.matched)
      end

      return nil
    end"
[s]Ronin::Password,parse,([ to_s: () -> String ]) -> XXX,([ to_s: () -> String ]) -> Password,"def self.parse(password)
      first_or_new(:clear_text => password.to_s)
    end"
[s]Ronin::Port,from,(XXX) -> XXX,((Number or String)) -> Port,"def self.from(number)
      first_or_new(:number => number)
    end"
[s]Ronin::Port,parse,([ to_i: () -> Number ]) -> XXX,((Number or String)) -> Port,"def self.parse(number)
      from(number.to_i)
    end"
[s]Ronin::Repository,find,(([ dump: () -> XXX ] and [ to_s: () -> String ])) -> XXX,(String) -> Repository,"def Repository.find(name)
      name, domain = name.to_s.split('@',2)

      query = {:name => name}
      query[:domain] = domain if domain

      unless (repo = Repository.first(query))
        if domain
          raise(RepositoryNotFound,""Repository #{name.dump} from domain #{domain.dump} cannot be found"")
        else
          raise(RepositoryNotFound,""Repository #{name.dump} cannot be found"")
        end
      end

      return repo
    end"
[s]Ronin::Repository,add,"(?([ []: (:path) -> XXX ] and [ has_key?: (:path) -> XXX ] and [ merge: ({ path: Pathname, installed: (false or true), domain: String }) -> XXX ])) -> Ronin::Repository",() -> Repository,"def Repository.add(options={})
      unless options.has_key?(:path)
        raise(ArgumentError,""the :path option was not given"")
      end

      path = Pathname.new(options[:path]).expand_path

      unless path.directory?
        raise(RepositoryNotFound,""Repository #{path} cannot be found"")
      end

      if Repository.count(:path => path) > 0
        raise(DuplicateRepository,""a Repository at the path #{path} was already added"")
      end

      # create the repository
      repo = Repository.new(options.merge(
        :path      => path,
        :installed => false,
        :domain    => LOCAL_DOMAIN
      ))

      if Repository.count(:name => repo.name, :domain => repo.domain) > 0
        raise(DuplicateRepository,""the Repository #{repo} already exists in the database"")
      end

      # save the repository
      if repo.save
        # cache any files from within the `cache/` directory of the
        # repository
        repo.cache_scripts!
      end

      return repo
    end"
[s]Ronin::Repository,install,(?[ []: (:uri) -> XXX ]) -> Ronin::Repository,(Hash) -> Repository,"def Repository.install(options={})
      unless options[:uri]
        raise(ArgumentError,"":uri must be passed to Repository.install"")
      end

      remote_repo = Pullr::RemoteRepository.new(options)

      name   = remote_repo.name
      domain = if remote_repo.uri.scheme
                 remote_repo.uri.host
               else
                 # Use a regexp to pull out the host-name, if the URI
                 # lacks a scheme.
                 remote_repo.uri.to_s.match(/\@([^@:\/]+)/)[1]
               end

      if Repository.count(:name => name, :domain => domain) > 0
        raise(DuplicateRepository,""a Repository already exists with the name #{name.dump} from domain #{domain.dump}"")
      end

      path = File.join(Config::REPOS_DIR,name,domain)

      # pull down the remote repository
      local_repo = remote_repo.pull(path)

      # add the new remote repository
      repo = Repository.new(
        :path      => path,
        :scm       => local_repo.scm,
        :uri       => remote_repo.uri,
        :installed => true,
        :name      => name,
        :domain    => domain
      )

      # save the repository 
      if repo.save
        # cache any files from within the `cache/` directory of the
        # repository
        repo.cache_scripts!
      end

      return repo
    end"
[s]Ronin::Repository,update!,() { ([ update!: () -> XXX ]) -> XXX } -> XXX,() -> %bot,"def Repository.update!
      Repository.each do |repo|
        # update the repositories contents
        repo.update!

        yield repo if block_given?
      end
    end"
[s]Ronin::Repository,uninstall,(([ dump: () -> XXX ] and [ to_s: () -> String ])) -> XXX,(String) -> nil,"def Repository.uninstall(name)
      Repository.find(name).uninstall!
    end"
[s]Ronin::Repository,activate!,() -> XXX,() -> Array<Repository>,"def Repository.activate!
      Repository.each { |repo| repo.activate! }
    end"
[s]Ronin::Repository,deactivate!,() -> Enumerator<t>,() -> Array<Repository>,"def Repository.deactivate!
      Repository.reverse_each { |repo| repo.deactivate! }
    end"
[s]Ronin::URL,extract,(String) { (XXX) -> XXX } -> Array<%any>,(String) -> Array<URL>,"def self.extract(text)
      return enum_for(__method__,text).to_a unless block_given?

      ::URI.extract(text) do |uri|
        uri = begin
                ::URI.parse(RDL.type_cast(uri, ""String""))
              rescue URI::InvalidURIError
                # URI.extract can parse URIs that URI.parse cannot handle
                next
              end

        yield from(RDL.type_cast(uri, ""URI::HTTP""))
      end

      return nil
    end"
[s]Ronin::URL,http,() -> XXX,() -> Array<URL>,"def self.http
      all('scheme.name' => 'http')
    end"
[s]Ronin::URL,https,() -> XXX,() -> Array<URL>,"def self.https
      all('scheme.name' => 'https')
    end"
[s]Ronin::URL,hosts,(XXX) -> XXX,((Array<String> or String)) -> Array<URL>,"def self.hosts(names)
      all('host.address' => names)
    end"
[s]Ronin::URL,ports,(XXX) -> XXX,((Array<Number> or Number)) -> Array<URL>,"def self.ports(numbers)
      all('port.number' => numbers)
    end"
[s]Ronin::URL,directory,(XXX) -> XXX,(String) -> Array<URL>,"def self.directory(root_dir)
      all(:path => root_dir) | all(:path.like => ""#{root_dir}/%"")
    end"
[s]Ronin::URL,extension,(XXX) -> Array<URL>,(String) -> Array<URL>,"def self.extension(ext)
      RDL.type_cast(all(:path => ""%.#{ext}""), ""Array<URL>"")
    end"
[s]Ronin::URL,with_query_param,(XXX) -> XXX,((Array<String> or String)) -> Array<URL>,"def self.with_query_param(name)
      all('query_params.name.name' => name)
    end"
[s]Ronin::URL,with_query_value,(XXX) -> XXX,((Array<String> or String)) -> Array<URL>,"def self.with_query_value(value)
      all('query_params.value' => value)
    end"
[s]Ronin::URL,query_param,(XXX) -> XXX,() -> %bot,"def self.query_param(name)
      with_query_param(name)
    end"
[s]Ronin::URL,query_value,(XXX) -> XXX,() -> %bot,"def self.query_value(value)
      with_query_value(name)
    end"
[s]Ronin::URL,from,(([ fragment: () -> XXX ] and [ host: () -> XXX ] and [ path: () -> XXX ] and [ port: () -> XXX ] and [ query_params: () -> XXX ] and [ respond_to?: (:query_params) -> XXX ] and [ scheme: () -> XXX ])) -> XXX,(URI::HTTP) -> URL,"def self.from(uri)
      # find or create the URL scheme, host_name and port
      scheme    = URLScheme.first_or_new(:name => uri.scheme)
      host_name = HostName.first_or_new(:address => uri.host)
      port      = if uri.port
                    TCPPort.first_or_new(:number => uri.port)
                  end

      path     = normalized_path(uri)
      fragment = uri.fragment

      query_params = []
      
      if uri.respond_to?(:query_params)
        # find or create the URL query params
        uri.query_params.each do |name,value|
          query_params << {
            :name  => URLQueryParamName.first_or_new(:name => name),
            :value => value
          }
        end
      end

      # find or create the URL
      return first_or_new(
        :scheme       => scheme,
        :host_name    => host_name,
        :port         => port,
        :path         => path,
        :fragment     => fragment,
        :query_params => query_params
      )
    end"
[s]Ronin::URL,parse,(String) -> XXX,(String) -> URL,"def self.parse(url)
      from(::URI.parse(url))
    end"
[s]Ronin::URL,normalized_path,([ path: () -> XXX ]) -> String,(URI) -> String,"def self.normalized_path(uri)
      case uri
      when ::URI::HTTP
        # map empty HTTP paths to '/'
        unless uri.path.empty? then uri.path
        else                        '/'
        end
      else
        uri.path
      end
    end"
[s]Ronin::WebCredential,with_email,"(([ dump: () -> XXX ] and [ include?: (String) -> XXX ] and [ split: (String, Number) -> XXX ])) -> XXX",(String) -> Array<WebCredential>,"def self.with_email(email)
      unless email.include?('@')
        raise(""invalid email address #{email.dump}"")
      end

      user, domain = email.split('@',2)

      return all(
        'email_address.user_name.name' => user,
        'email_address.host_name.address' => domain
      )
    end"
[s]Ronin::Database,repositories,() -> XXX,"() -> Hash<Symbol, Hash>","def self.repositories
      if @repositories.empty?
        @repositories[:default] = DEFAULT_REPOSITORY

        if File.file?(CONFIG_FILE)
          config = YAML.load_file(CONFIG_FILE)

          unless config.kind_of?(Hash)
            raise(InvalidConfig,""#{CONFIG_FILE} must contain a YAML Hash of repositories"")
          end

          config.each do |name,uri|
            @repositories[name.to_sym] = uri
          end
        end
      end

      return @repositories
    end"
[s]Ronin::Database,repository?,([ to_sym: () -> XXX ]) -> XXX,((String or Symbol)) -> (false or true),"def self.repository?(name)
      repositories.has_key?(name.to_sym)
    end"
[s]Ronin::Database,save,() { () -> XXX } -> (false or true),() -> (false or true),"def self.save
      yield if block_given?

      File.open(CONFIG_FILE,'w') do |file|
        hash = {}
        
        repositories.each do |name,value|
          hash[name.to_sym] = value
        end

        YAML.dump(hash,file)
      end

      return true
    end"
[s]Ronin::Database,log,"(?([ empty?: () -> XXX ] and [ fetch: (:level, :info) -> XXX ] and [ fetch: (:path, String) -> XXX ] and [ fetch: (:stream, XXX) -> XXX ])) -> DataMapper::Logger",(Hash) -> DataMapper::Logger,"def self.log(options={})
      unless (@log && options.empty?)
        path   = options.fetch(:path,DEFAULT_LOG_PATH)
        stream = options.fetch(:stream,File.new(path,'w+'))
        level  = options.fetch(:level,DEFAULT_LOG_LEVEL)

        @log = DataMapper::Logger.new(stream,level)
      end

      return @log
    end"
[s]Ronin::Database,upgrade!,() -> (false or true),() -> (false or true),"def self.upgrade!
      return false unless setup?

      Migrations.migrate_up!
    end"
[s]Ronin::Database,setup,(?XXX) -> (false or true),((Hash or String)) -> %bot,"def self.setup(uri=nil)
      # setup the database log
      unless @log
        if $DEBUG then log(:stream => $stderr, :level => :debug)
        else           log
        end
      end

      if uri
        # only setup the default database repositories
        DataMapper.setup(:default,uri)
      else
        # setup the database repositories
        repositories.each do |name,uri|
          DataMapper.setup(name,uri)
        end
      end

      # finalize the Models
      DataMapper.finalize

      # apply any new migrations to the database
      upgrade!
    end"
[s]Ronin::Database,repository,([ to_sym: () -> XXX ]) { XXX } -> XXX,((String or Symbol)) -> DataMapper::Repository,"def self.repository(name,&block)
      name = name.to_sym

      unless repository?(name)
        raise(UnknownRepository,""unknown database repository #{name}"")
      end

      return DataMapper.repository(name,&block)
    end"
[s]Ronin::Database,clear,([ to_sym: () -> XXX ]) { () -> XXX } -> nil,((String or Symbol)) -> nil,"def self.clear(name)
      name = name.to_sym

      unless repository?(name)
        raise(UnknownRepository,""unknown database repository #{name}"")
      end

      DataMapper.auto_migrate!(name)

      yield if block_given?
      return nil
    end"
[s]Ronin::Database,map,() { () -> XXX } -> Array<XXX>,() -> Array,"def self.map
      results = []

      repositories.each_key do |name|
        DataMapper.repository(name) do
          result = yield
          results << result unless result.nil?
        end
      end

      return results
    end"
[s]Ronin::Model,included,"(([ <: (Module) -> XXX ] and [ send: (:extend, Module) -> XXX ] and [ send: (:include, Module) -> XXX ] and [ send: (:include, Module, Module, Module) -> XXX ])) -> XXX",(Class) -> %bot,"def self.included(base)
      unless base < DataMapper::Resource
        base.send :include, DataMapper::Resource
      end

      # include DataMapper plugins
      base.send :include, DataMapper::Migrations,
                          DataMapper::Serialize,
                          DataMapper::Timestamps

      # include Model types / methods
      base.send :include, Model::Types
      base.send :include, InstanceMethods
      base.send :extend,  ClassMethods
    end"
[s]Ronin::Script,load_from,(([ dump: () -> XXX ] and [ to_str: () -> String ])) -> XXX,(String) -> Script,"def Script.load_from(path)
      path = File.expand_path(path)
      script = ObjectLoader.load_objects(path).find do |obj|
        obj.class < Script
      end

      unless script
        raise(""No cacheable object defined in #{path.dump}"")
      end

      script.instance_variable_set('@script_loaded',true)
      script.script_path = Path.new(
        :path => path,
        :timestamp => File.mtime(path),
        :class_name => script.class.to_s
      )

      return script
    end"
[s]Ronin::UI::CLI,commands,() -> XXX,() -> Hash,"def CLI.commands
        if @commands.empty?
          commands_dir = File.join('lib',Commands.namespace_root)

          Installation.each_file_in(commands_dir,'rb') do |path|
            # remove the .rb file extension
            name = path.chomp('.rb')

            # replace any file separators with a ':', to mimic the
            # naming convention of Rake/Thor.
            name.tr!(File::SEPARATOR,':')

            @commands << name
          end
        end

        return @commands.sort
      end"
[s]Ronin::UI::CLI,command,"(([ dump: () -> XXX ] and [ to_s: () -> String ] and [ tr: (String, String) -> XXX ])) -> XXX",((String or Symbol)) -> Command,"def CLI.command(name)
        name = name.to_s
        path = name.tr(':','/')

        unless (command = Commands.require_const(path))
          raise(UnknownCommand,""unable to load the command #{name.dump}"",caller)
        end

        unless command.respond_to?(:start)
          raise(UnknownCommand,""command #{name.dump} must provide a 'start' method"",caller)
        end

        return command
      end"
[s]Ronin::UI::CLI,start,(?([ []: (Range<Number>) -> XXX ] and [ first: () -> XXX ])) -> (false or true),(Array) -> (false or true),"def CLI.start(argv=ARGV)
        name = argv.first

        # run the default command if an option or no arguments were given
        if (name.nil? || name[0,1] == '-')
          name = DEFAULT_COMMAND
        else
          argv = argv[1..-1]
        end

        begin
          CLI.command(name).start(argv)
        rescue UnknownCommand => e
          $stderr.puts e.message
          exit -1
        end

        return true
      end"
[s]Ronin::UI::CLI::ClassCommand,class_name,(?[ to_sym: () -> XXX ]) -> Symbol,(Symbol) -> Symbol,"def self.class_name(name=nil)
          if name then @class_name = name.to_sym
          else         @class_name ||= self.name.split('::').last.to_sym
          end
        end"
[s]Ronin::UI::CLI::ClassCommand,command_class,() -> XXX,() -> Class,"def self.command_class
          @command_class ||= class_namespace.const_get(class_name)
        end"
[s]Ronin::UI::CLI::Command,command_name,() -> XXX,() -> %bot,"def self.command_name
          @command_name ||= Support::Inflector.underscore(
            self.name.sub('Ronin::UI::CLI::Commands::','').gsub('::',':')
          )
        end"
[s]Ronin::UI::CLI::Command,start,(?XXX) -> (false or true),(Array<String>) -> (false or true),"def self.start(argv=ARGV)
          new().start(argv)
        end"
[s]Ronin::UI::CLI::Command,run,(?XXX) -> (false or true),"(Hash<Symbol, Object>) -> (false or true)","def self.run(options={})
          new().run(options)
        end"
[s]Ronin::UI::CLI::Command,options,"() -> Hash<:import, { flag: XXX, usage: XXX }>","() -> Hash<Symbol, Hash>","def self.options
          @options ||= {}
        end"
[s]Ronin::UI::CLI::Command,option,"(:import, ?([ []: (:flag) -> XXX ] and [ []: (:usage) -> XXX ])) -> XXX","(Symbol, Hash) -> Parameters::ClassParam","def self.option(name,options={})
          self.options[name] = {
            :flag  => options[:flag],
            :usage => options[:usage],
          }

          return parameter(name,options)
        end"
[s]Ronin::UI::CLI::Command,options?,() -> XXX,() -> (false or true),"def self.options?
          each_option.any?
        end"
[s]Ronin::UI::CLI::Command,arguments,() -> Array<XXX>,() -> Array<Symbol>,"def self.arguments
          @arguments ||= []
        end"
[s]Ronin::UI::CLI::Command,argument,"([ to_sym: () -> XXX ], ?XXX) -> XXX","(Symbol, Hash) -> Parameters::ClassParam","def self.argument(name,options={})
          self.arguments << name.to_sym

          return parameter(name,options)
        end"
[s]Ronin::UI::CLI::Command,arguments?,() -> XXX,() -> (false or true),"def self.arguments?
          each_argument.any?
        end"
[s]Ronin::UI::CLI::ModelCommand,query_options,() -> Array<:import>,() -> Array<Symbol>,"def self.query_options
          @query_options ||= []
        end"
[s]Ronin::UI::CLI::ModelCommand,query_option,"(:import, ?([ []: (:flag) -> XXX ] and [ []: (:usage) -> XXX ])) -> XXX","(Symbol, Hash) -> %bot","def self.query_option(name,options={})
          query_options << name

          return option(name,options)
        end"
[s]Ronin::UI::CLI::ResourcesCommand,model,(?[ <: (Module) -> XXX ]) -> XXX,() -> %bot,"def self.model(model=nil)
          if (model && model < Model::Importable)
            option :import, :type  => String,
                            :flag  => '-i',
                            :usage => 'FILE',
                            :description => 'The file to import'
          end

          return super(model)
        end"
[s]Ronin::UI::CLI::ScriptCommand,script_class,(?[ included_modules: () -> XXX ]) -> XXX,(Script) -> Script,"def self.script_class(script=nil)
          if (script && !script.included_modules.include?(Script))
            raise(ArgumentError,""#{script} does not include Ronin::Script"")
          end

          return model(script)
        end"
[s]Ronin::UI::CLI::Commands::Exec,start,(?([ []: (Number) -> XXX ] and [ []: (Range<Number>) -> XXX ])) -> (false or true),(Array<String>) -> %bot,"def self.start(argv=ARGV)
            case argv[0]
            when '-h', '--help', nil
              puts ""Usage:\n  ronin-exec SCRIPT [ARGS...]\n\n""
              puts ""Runs a script from a Ronin Repository""
              return false
            end

            self.new(argv[0],argv[1..-1]).execute
          end"
Ronin,script,(([ dump: () -> XXX ] and [ to_str: () -> String ])) -> XXX,(String) -> Script,"def script(path)
    Script.load_from(path)
  end"
Ronin::Address,to_s,() -> String,() -> String,"def to_s
      self.address.to_s
    end"
Ronin::Address,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self.address}>""
    end"
Ronin::Author,to_s,() -> String,() -> String,"def to_s
      if self.email then ""#{self.name} <#{self.email}>""
      else               super
      end
    end"
Ronin::Campaign,targets?,(XXX) -> XXX,(Address) -> (false or true),"def targets?(address)
      self.addresses.include?(address)
    end"
Ronin::Campaign,target!,([ dump: () -> XXX ]) -> XXX,(String) -> Target,"def target!(addr)
      unless (address = Address.first(:address => addr))
        raise(""unknown address #{addr.dump}"")
      end

      return Target.first_or_create(:campaign => self, :address => address)
    end"
Ronin::Credential,user,() -> nil,() -> String,"def user
      self.user_name.name if self.user_name
    end"
Ronin::Credential,clear_text,() -> nil,() -> String,"def clear_text
      self.password.clear_text if self.password
    end"
Ronin::Credential,to_s,() -> String,() -> String,"def to_s
      ""#{self.user_name}:#{self.password}""
    end"
Ronin::EmailAddress,user,() -> nil,() -> String,"def user
      self.user_name.name if self.user_name
    end"
Ronin::EmailAddress,host,() -> nil,() -> String,"def host
      self.host_name.address if self.host_name
    end"
Ronin::EmailAddress,to_s,() -> String,() -> String,"def to_s
      ""#{self.user_name}@#{self.host_name}""
    end"
Ronin::EmailAddress,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self}>""
    end"
Ronin::HostName,lookup!,(?XXX) -> Array<XXX>,(String) -> Array<IPAddress>,"def lookup!(nameserver=nil)
      resolver = Resolv.resolver(nameserver)
      ips = begin
              resolver.getaddresses(self.address)
            rescue
              []
            end

      ips.map! do |addr|
        IPAddress.first_or_create(
          :address => addr,
          :host_names => [self]
        )
      end

      return ips
    end"
Ronin::HostName,recent_ip_address,() -> XXX,() -> IpAddress,"def recent_ip_address
      self.host_name_ip_addresses.all(
        :order => [:created_at.desc]
      ).ip_addresses.first
    end"
Ronin::HostName,last_scanned_at,() -> nil,() -> Time,"def last_scanned_at
      last_scanned_url = self.urls.first(
        :order => [:last_scanned_at.desc]
      )

      return last_scanned_url.last_scanned_at if last_scanned_url
    end"
Ronin::IPAddress,lookup!,(?XXX) -> Array<XXX>,(String) -> Array<HostName>,"def lookup!(nameserver=nil)
      resolver = Resolv.resolver(nameserver)
      hosts = begin
                resolver.getnames(self.address.to_s)
              rescue
                []
              end

      hosts.map! do |name|
        HostName.first_or_create(
          :address => name,
          :ip_addresses => [self]
        )
      end

      return hosts
    end"
Ronin::IPAddress,recent_mac_address,() -> XXX,() -> MacAddress,"def recent_mac_address
      self.ip_address_mac_addresses.all(
        :order => [:created_at.desc]
      ).mac_addresses.first
    end"
Ronin::IPAddress,recent_host_name,() -> XXX,() -> HostName,"def recent_host_name
      self.host_name_ip_addresses.all(
        :order => [:created_at.desc]
      ).host_names.first
    end"
Ronin::IPAddress,recent_os_guess,() -> XXX,() -> OS,"def recent_os_guess
      self.os_guesses.all(:order => [:created_at.desc]).oses.first
    end"
Ronin::IPAddress,last_scanned_at,() -> nil,() -> Time,"def last_scanned_at
      last_scanned_port = self.open_ports.first(
        :order => [:last_scanned_at.desc]
      )

      return last_scanned_port.last_scanned_at if last_scanned_port
    end"
Ronin::IPAddress,to_ip,() -> XXX,() -> IPAddr,"def to_ip
      self.address
    end"
